record_id,source_row,street,city,postal_code,country,latitude,longitude,shipment_number,carrier,weight_kg,status,dispatch_date,quality_note
log-000000000,0,Schemaweg 1, Vektorstetten ,10000,DE,52.4429161,14.008052,SHP-500000,SynthExpress,20.11,verloren,2025-01-01,synthetic-normal
log-000000001,1,Schemaweg 1 , VEKTORSTETTEN ,10000,DE,52.4429161,14.008052,SHP-500000,SynthExpress,20.11,verloren,2025-01-01,synthetic-normal
log-000000002,2,Prüfsummenstrasse 3,Westbogen,25838,DE,53.066936,7.2688657,SHP-500002,Beispielkurier,572.84,zugestellt,03/01/2025,synthetic-normal
log-000000003,3,  Pipelineweg   4,Westbogen,33757,Deutschland,53.4341749,12.5135324,SHP-500003,SynthExpress,269.34,verloren,2025-01-04,synthetic-normal
log-000000004,4,Koordinatenplatz 5,Nordhafen,41676,deu,53.1753194,14.864038,SHP-500004,DemoLogistik,494.85,angekuendigt,2025/01/05,synthetic-normal
log-000000005,5,Koordinatenplatz 6,Westbogen,49595,DE,51.9293956,7.3744756,SHP-500005,DemoLogistik,291.93,unterwegs,2025/01/06,synthetic-normal
log-000000006,6,Qualitätsring 7,Nordhafen,57514,deu,53.5456997,13.2064214,SHP-500006,Beispielkurier,512.04,zugestellt,2025-01-07,synthetic-normal
log-000000007,7,Koordinatenplatz 8,Ostfeld,65433,D,48.3858241,7.0845989,SHP-500007,Musterfracht,701.11,verloren,2025/01/08,synthetic-normal
log-000000008,8,Spaltenweg 9,Nordhafen,73352,deu,52.0685899,13.0871302,SHP-500008,Beispielkurier,110.75,angekuendigt,2025/01/09,synthetic-normal
log-000000009,9,Datenstraße 10, Datenheim ,81271,Deutschland,53.1413504,8.9296144,SHP-500009,Musterfracht,423.34,verloren,10.01.2025,synthetic-normal
log-000000010,10,Schemaweg 11,Nordhafen,89190,Deutschland,53.696687,10.4704985,SHP-500010,DemoLogistik,700.69,unterwegs,11/01/2025,synthetic-normal
log-000000011,11,Datenstr. 12,Nordhafen,17109,Deutschland,53.9782863,13.4513229,SHP-500011,Musterfracht,622.92,unterwegs,2025-01-12,synthetic-normal
log-000000012,12,Spaltenweg 13,Datenheim,25028,deu,48.2757751,10.1725979,SHP-500012,DemoLogistik,63.1,zugestellt,2025/01/13,synthetic-normal
log-000000013,13,Qualitätsring 14,Vektorstetten,32947,Deutschland,50.6295606,10.5616977,SHP-500013,SynthExpress,604.24,unterwegs,14.01.2025,synthetic-normal
log-000000014,14,Schemaweg 1, Vektorstetten ,10000,DE,52.4429161,14.008052,SHP-500000,SynthExpress,20.11,verloren,2025-01-01,synthetic-normal
log-000000015,15,Datenstrasse 16,Nordhafen,48785,Deutschland,47.8385159,7.9896426,SHP-500015,Beispielkurier,56.89,unterwegs,16.01.2025,synthetic-normal
log-000000016,16,  Qualitätsring   17,Südwinkel,56704,DE,48.0366742,9.7656709,SHP-500016,Beispielkurier,461.01,verloren,2025/01/17,synthetic-normal
log-000000017,17,  Datenstraße   18,Nordhafen,64623,deu,10.7338289,48.7560845,SHP-500017,DemoLogistik,-4,verloren,18.01.2025,synthetic-error
log-000000018,18,Pipelineweg 19, Datenheim ,72542,DE,54.6643716,14.3225762,SHP-500018,DemoLogistik,60.4,unterwegs,2025/01/19,synthetic-normal
